"用例ID","模块","用例名称","前置条件","测试步骤","预期结果","备注","自动化脚本","关联需求","是否自动化"
"TC-017","首页 Specialty Flights","首页 Specialty Flights 模块展示与 Tab 切换校验","首页可访问","1. 打开首页 2. 检查 Specialty Flights 模块是否展示 3. 依次点击各个 Tab 4. 校验 View All Destinations 链接随 Tab 更新 5. 校验每个 Tab 下至少展示 3 个目的地链接","Specialty Flights 模块展示正常，Tab 切换后链接更新正确，且每个场景下均有可访问目的地入口","Tab 交互校验","tests/test_home_specialty_flights.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-018","首页 Specialty Flights","首页 Specialty Flights 的 View All Destinations 跳转校验","首页可访问","1. 打开首页 2. 切换到 Island Escapes Tab 3. 点击 View All Destinations 4. 校验跳转页面地址与文案","页面成功跳转到 /island-destination 落地页，并展示 Featured Island Destinations 文案","跳转校验","tests/test_home_specialty_flights.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-019","首页 Footer","首页 Footer 信息入口与站内链接校验","首页可访问","1. 打开首页 2. 检查 Footer 关键入口是否展示 3. 校验 Footer 站内链接可访问","Footer 关键入口展示正常，且无不可访问的站内链接","Footer 链接校验","tests/test_home_footer_links.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-020","报价提交","单程搜索结果页提交 Proposal","首页可访问；系统存在可搜索的随机城市对","1. 准备可搜索的城市对 2. 点击 Search 进入结果页 3. 校验有结果且价格有效 4. 选择最多 3 架飞机 5. 打开 Quote 弹窗并填写表单 6. 提交表单","成功进入 Thank You 页面","单程场景","tests/test_submit_proposal.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-021","报价提交","往返搜索结果页提交 Proposal","首页可访问；系统存在可搜索的往返城市对","1. 选择 Round Trip 2. 准备可搜索的城市对 3. 点击 Search 进入结果页 4. 校验有结果且价格有效 5. 选择最多 3 架飞机 6. 填写并提交 Quote 表单","成功进入 Thank You 页面","往返场景","tests/test_round_trip_submit_proposal.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-022","报价提交","多航段搜索结果页提交 Proposal","首页可访问；系统存在可搜索的多城市路线","1. 选择 Multi City 2. 准备 4 个可搜索城市 3. 点击 Search 进入结果页 4. 校验有结果且价格有效 5. 选择最多 3 架飞机 6. 填写并提交 Quote 表单","成功进入 Thank You 页面","多航段场景","tests/test_multi_city_submit_proposal.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-023","Affiliate Partner","未登录点击 Join Us Today 需提示先登录","用户未登录；首页可访问","1. 从首页打开 Affiliate Partner 页面 2. 点击 Join Us Today","页面出现登录提示","权限校验","tests/test_affiliate_partner_requires_login.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-024","Affiliate Partner","已登录用户重复提交 Affiliate Partner 表单提示已提交","已配置可用测试账号；首页可访问","1. 使用账号密码登录 2. 打开 Affiliate Partner 页面 3. 点击 Join Us Today 4. 填写 WhatsApp 和 WeChat 5. 提交表单","页面提示该用户已提交过申请","重复提交校验","tests/test_affiliate_partner_already_submitted.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-025","Services 菜单","Services - Empty Legs 页面校验","首页可访问","1. 打开 Services 菜单 2. 点击 Empty Legs 3. 等待 /empty-leg 页面 4. 校验关键文案 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Empty Leg 文案，且无不可点击按钮、无不可访问站内链接","参数化场景","tests/test_services_menu_pages.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-026","Services 菜单","Services - On-Demand Charter 页面校验","首页可访问","1. 打开 Services 菜单 2. 点击 On-Demand Charter 3. 等待 /private-jet-charter 页面 4. 校验关键文案 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Private Jet Charter 文案，且无不可点击按钮、无不可访问站内链接","参数化场景","tests/test_services_menu_pages.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-027","Services 菜单","Services - Group Charter 页面校验","首页可访问","1. 打开 Services 菜单 2. 点击 Group Charter 3. 等待 /group-air-charter 页面 4. 校验关键文案 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Group Air Charter 文案，且无不可点击按钮、无不可访问站内链接","参数化场景","tests/test_services_menu_pages.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-028","Services 菜单","Services - Air Ambulance 页面校验","首页可访问","1. 打开 Services 菜单 2. 点击 Air Ambulance 3. 等待 /air-ambulance 页面 4. 校验关键文案 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Air Ambulance 文案，且无不可点击按钮、无不可访问站内链接","参数化场景","tests/test_services_menu_pages.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-029","Services 菜单","Services - Corporate Charter 页面校验","首页可访问","1. 打开 Services 菜单 2. 点击 Corporate Charter 3. 等待 /corporate-air-charter 页面 4. 校验关键文案 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Corporate 文案，且无不可点击按钮、无不可访问站内链接","参数化场景","tests/test_services_menu_pages.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-030","Services 菜单","Services - Pet Travel 页面校验","首页可访问","1. 打开 Services 菜单 2. 点击 Pet Travel 3. 等待 /pet-travel 页面 4. 校验关键文案 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Pet 文案，且无不可点击按钮、无不可访问站内链接","参数化场景","tests/test_services_menu_pages.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-031","Services 菜单","Services - Event Charter 页面校验","首页可访问","1. 打开 Services 菜单 2. 点击 Event Charter 3. 等待 /event-air-charter 页面 4. 校验关键文案 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Event 文案，且无不可点击按钮、无不可访问站内链接","参数化场景","tests/test_services_menu_pages.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-032","Company 菜单","Company - About Us 页面校验","首页可访问","1. 打开 Company 菜单 2. 点击 About Us 3. 等待 /about-us 页面 4. 校验关键文案 5. 校验图片是否损坏 6. 校验按钮可点击状态 7. 校验站内链接可访问状态","页面包含 Your Global Air Charter Partner 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","参数化场景","tests/test_company_menu_pages.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-033","Company 菜单","Company - Blogs 页面校验","首页可访问","1. 打开 Company 菜单 2. 点击 Blogs 3. 等待 /blogs 页面 4. 校验关键文案 5. 校验图片是否损坏 6. 校验按钮可点击状态 7. 校验站内链接可访问状态","页面包含 Exploring Private Aviation, Events and Insights 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","参数化场景","tests/test_company_menu_pages.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-034","Membership 页面","Membership - Jet Card 页面校验","首页可访问","1. 从首页打开 Jet Card 页面 2. 等待 /jet-card 页面 3. 校验关键文案 4. 校验图片是否损坏 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 The Ultimate Private Jet Membership 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","参数化场景","tests/test_membership_menu_pages.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-035","Membership 页面","Membership - Travel Credit 页面校验","首页可访问","1. 从首页打开 Travel Credit 页面 2. 等待 /travel-credit 页面 3. 校验关键文案 4. 校验图片是否损坏 5. 校验按钮可点击状态 6. 校验站内链接可访问状态","页面包含 Earn More, Travel More 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","参数化场景","tests/test_membership_menu_pages.py","官网 V4.0.3 回归 / 测试用例清单原始场景","是"
"TC-036","Plan Your Flight 菜单","Plan Your Flight - How to Book 页面校验","首页可访问","1. 打开 Plan Your Flight 菜单 2. 点击 How to Book 3. 等待 /charter-guide/booking-process 页面 4. 点击全部 View More 入口 5. 校验关键文案、图片、按钮、链接","页面包含 How to Charter a Flight 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","若存在详情页入口则继续校验详情图文","tests/test_plan_your_flight_menu_pages.py","【官网V4.0.3】How To Book / Plan Your Flight 回归","是"
"TC-037","Plan Your Flight 菜单","Plan Your Flight - Empty Leg Recommendation 页面校验","首页可访问","1. 打开 Plan Your Flight 菜单 2. 点击 Empty Leg Recommendation 3. 等待 /charter-guide/empty-leg-recommendation 页面 4. 点击全部 View More 入口 5. 校验关键文案、图片、按钮、链接","页面包含 Learn more about Empty Legs Flight 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","若存在详情页入口则继续校验详情页图片","tests/test_plan_your_flight_menu_pages.py","【官网V4.0.3】How To Book / Plan Your Flight 回归","是"
"TC-038","Plan Your Flight 菜单","Plan Your Flight - Destinations 页面校验","首页可访问","1. 打开 Plan Your Flight 菜单 2. 点击 Destinations 3. 等待 /destination 页面 4. 点击全部 View More 入口 5. 校验关键文案、图片、按钮、链接","页面包含 Explore Exciting New Destinations with JETBAY 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","若存在详情页入口则继续校验详情图文","tests/test_plan_your_flight_menu_pages.py","【官网V4.0.3】How To Book / Plan Your Flight 回归","是"
"TC-039","Plan Your Flight 菜单","Plan Your Flight - Airports 页面校验","首页可访问","1. 打开 Plan Your Flight 菜单 2. 点击 Airports 3. 等待 /airports 页面 4. 点击全部 View More 入口 5. 校验关键文案、图片、按钮、链接","页面包含 Connecting You to Premier Private Jet Airports 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接","若存在详情页入口则继续校验详情图文","tests/test_plan_your_flight_menu_pages.py","【官网V4.0.3】How To Book / Plan Your Flight 回归","是"
"TC-040","Plan Your Flight 菜单","Plan Your Flight - Video Centre 页面校验","首页可访问","1. 打开 Plan Your Flight 菜单 2. 点击 Video Centre 3. 等待 /charter-guide/video-centre 页面 4. 点击全部 View More 入口 5. 校验关键文案、图片、按钮、链接 6. 播放首个视频并校验","页面包含 Where Business Aviation Comes to Life 文案，且无损坏图片、无不可点击按钮、无不可访问站内链接，并且首个视频可播放","视频播放校验","tests/test_plan_your_flight_menu_pages.py","【官网V4.0.3】How To Book / Plan Your Flight 回归","是"
"TC-041","Home / Mobile Navigation","移动端汉堡菜单展示核心导航入口","移动端视口 390x844，首页可访问","1. 打开首页 2. 点击 Header 第一个可见汉堡菜单按钮 3. 查看展开后的页面文案","移动端菜单展示 Private Jet Charter、Plan Your Flight、Company、Contact Us 等核心入口","新增自动化：tests/test_home_mobile_navigation.py","tests/test_home_mobile_navigation.py","官网 V4.0.3 全站回归 / 历史 Bug 模式库","是"
"TC-042","Contact Us","关键页面 Contact Us 弹窗可正常打开","桌面端和移动端关键页面可访问","1. 分别在首页、Private Jet Charter、How to Book、Empty Leg、About Us 打开页面 2. 点击 Contact Us 3. 检查弹窗内容","弹窗可见，并展示 Contact your personal consultant、WhatsApp、Contact Number、Email、Contact Now","新增自动化：tests/test_contact_us_modal.py","tests/test_contact_us_modal.py","官网 V4.0.3 全站回归 / 历史 Bug 模式库","是"
"TC-043","Contact Us","Contact Us 弹窗不展示废弃手机号","桌面端和移动端关键页面可访问","1. 分别在关键页面打开 Contact Us 弹窗 2. 读取弹窗可见文案 3. 模糊匹配旧号码 +1 917 795 8851","弹窗可见文案中不出现 917 795 8851 及其空格、连字符、国家码变体","新增自动化：tests/test_contact_us_modal.py","tests/test_contact_us_modal.py","官网 V4.0.3 全站回归 / 历史 Bug 模式库","是"
"TC-044","Private Jet Charter","Multi-City 三段航程搜索按钮不被裁切","桌面视口 1900x817，Private Jet Charter 页面可访问","1. 打开 /private-jet-charter 2. 切换 Multi-City 3. 点击 Add another flight 增加第三段航程 4. 检查 Search Available Aircraft 按钮可见比例","Search Available Aircraft 按钮未被 overflow-hidden 容器裁切，实际可见比例不低于 95%","新增自动化：tests/test_private_jet_entry.py","tests/test_private_jet_entry.py","【官网V4.0.3】Private Jet Charter / 官网 V4.0.3 回归","是"
"TC-045","404 / SEO","不存在和废弃路由返回真实 404","目标环境可访问，404 SEO 需求未被跳过时执行","1. 打开参数化的不存在路由 2. 检查主文档响应码 3. 检查是否发生重定向 4. 校验 404 页面布局和 SEO 规则","每个不存在路由返回 HTTP 404，不发生跳转，页面展示 404 模块，且不混入首页搜索模块","参数化 16 条；当前因需求变更跳过 SEO head/canonical 检查","tests/test_404_seo.py（参数化 16 条，当前需求变更跳过）","404 / SEO 回归规则","是"
"TC-046","404 / SEO","404 页面 Homepage CTA 跳回当前站点首页","任一 404 页面可访问","1. 打开 /123 2. 确认返回 404 页面 3. 点击 Go to Homepage 4. 等待跳转完成","页面跳回当前环境首页或 /en-us 首页，不跳到其它域名","新增自动化：tests/test_404_seo.py","tests/test_404_seo.py","404 / SEO 回归规则","是"
"TC-047","错误页识别","识别上游异常页文案","提供页面 URL、标题和 body 文案样本","1. 输入包含 Oops、Please refresh、Refresh 的异常页样本文案 2. 调用错误页标记识别逻辑","识别出 body:oops、body:please refresh、action:refresh 等异常标记","新增自动化：tests/test_error_page_detection.py","tests/test_error_page_detection.py","错误页识别与质量报告规则","是"
"TC-048","错误页识别","通过多重信号识别通用 404 页面","提供 404 URL、标题和 body 文案样本","1. 输入 URL 包含 not-found、标题包含 404、正文包含 page does not exist 的样本 2. 调用错误页标记识别逻辑","识别出 title:404、body:404、body:the page you are looking for does not exist、url:not-found","新增自动化：tests/test_error_page_detection.py","tests/test_error_page_detection.py","错误页识别与质量报告规则","是"
"TC-049","错误页识别","正常页面只有 refresh 文案时不误判","提供正常内容页 URL、标题和 body 文案样本","1. 输入 Video Centre 正常页面样本文案 2. body 中仅包含 refresh 作为普通词 3. 调用错误页标记识别逻辑","不返回错误页标记，避免把正常页面误判为异常页","新增自动化：tests/test_error_page_detection.py","tests/test_error_page_detection.py","错误页识别与质量报告规则","是"
"TC-050","错误页识别","错误页摘要包含关键定位信息","提供错误页上下文、URL、标题、匹配标记和 body 摘要","1. 调用错误页摘要生成逻辑 2. 检查摘要内容","摘要包含错误页结论、上下文、URL、Title、匹配标记，便于报告定位","新增自动化：tests/test_error_page_detection.py","tests/test_error_page_detection.py","错误页识别与质量报告规则","是"
"TC-051","Empty Leg Recommendation","登录后推荐航线按用户身份请求并匹配接口返回","测试账号可登录，homeList 接口有推荐数据","1. 使用配置账号登录 2. 监听页面 emptyLeg/v2/homeList 响应 3. 刷新首页 4. 对比首页推荐卡片与接口返回顺序 5. 检查请求鉴权头和登录邮箱","首页推荐航线前几条与接口返回 depCityName/arrCityName 顺序一致，请求带 web-authorization，登录邮箱匹配配置账号","新增自动化：tests/test_empty_leg_recommendation_by_email.py","tests/test_empty_leg_recommendation_by_email.py","【官网V4.0.3】Empty Legs / Empty Leg 回归","是"
"TC-052","Empty Leg Recommendation 规则","推荐航线仅使用最新批次数据","存在新旧 updateTime 的推荐航线样本","1. 构造新旧批次航线数据 2. 调用最新批次过滤逻辑 3. 查看保留记录","仅保留最大 updateTime 批次的数据，旧批次不参与推荐","新增自动化：tests/test_empty_leg_recommendation_rules.py","tests/test_empty_leg_recommendation_rules.py","【官网V4.0.3】Empty Legs / Empty Leg 回归","是"
"TC-053","Empty Leg Recommendation 规则","推荐航线按三层优先级排序","存在用户历史提交航线和推荐航线样本","1. 构造用户历史 A-B、C-D 记录 2. 构造精确匹配、出发/到达单边匹配、弱相关航线 3. 生成推荐结果","结果先展示精确匹配，再展示单边匹配，最后展示弱相关匹配；同级内按 sort 排序","新增自动化：tests/test_empty_leg_recommendation_rules.py","tests/test_empty_leg_recommendation_rules.py","【官网V4.0.3】Empty Legs / Empty Leg 回归","是"
"TC-054","Empty Leg Recommendation 规则","按邮箱匹配用户偏好并去重航线组合","存在大小写不同邮箱、重复航线和其它用户记录","1. 构造提交记录 2. 按目标邮箱提取偏好航线 3. 查看输出航线对","仅匹配目标邮箱且大小写不敏感；重复 A-B 只保留一次；其它用户记录不参与","新增自动化：tests/test_empty_leg_recommendation_rules.py","tests/test_empty_leg_recommendation_rules.py","【官网V4.0.3】Empty Legs / Empty Leg 回归","是"
"TC-055","世界杯场景包机","V4.0.4 页面功能回归","dev 环境 V4.0.4 世界杯页面可访问","1. 打开世界杯场景包机页面 2. 校验 Banner、轮播、赛程日历、筛选、路线卡片、提交弹窗、表单校验、日期规则、提交后反馈 3. 输出问题清单和截图","核心功能按需求展示；筛选和表单可操作；日期规则符合文档；发现问题输出到 V4.0.4 问题清单目录","脚本：scripts/regress_world_cup_v404_functional.py","scripts/regress_world_cup_v404_functional.py","【官网V4.0.4】世界杯场景包机 / 第2版需求","是"
"TC-056","世界杯场景包机","全球高端航线按国家切换后与 Excel 原始数据一致","已提供世界杯航线 Excel，页面地区选择器可切换国家","1. 读取 Excel 原始航线数据 2. 逐个切换页面国家/地区 3. 抽取全球高端航线卡片 4. 对比出发、到达、时长、机型等字段","页面展示的国家维度航线数据与 Excel 原始数据一致；如不一致输出问题清单和实际数据明细","脚本：scripts/compare_world_cup_routes_excel.py","scripts/compare_world_cup_routes_excel.py","【官网V4.0.4】世界杯场景包机 / 第2版需求","是"
"TC-057","登录态 / 表单提交","登录过期后提交世界杯航线表单应提示重新登录","测试账号可登录，世界杯航线提交弹窗可打开","1. 登录测试账号 2. 打开世界杯航线咨询弹窗 3. 删除本地 token/cookie/sessionStorage 中认证字段 4. 点击提交 5. 检查页面反馈和跳转","页面提示登录过期或要求重新登录，并刷新为未登录态；不得进入 thankyou 成功页","新增自动化：tests/test_login_expired_form_submit.py","tests/test_login_expired_form_submit.py","登录过期表单校验 / 历史 Bug 模式库","是"
"TC-058","SEO","Canonical、Indexing、Hreflang 和废弃页 301 规则扫描","提供 SEO BRD，目标环境可访问","1. 按文档配置扫描 active 页面和 deprecated 页面 2. 校验 robots、hreflang、301 跳转、站点地图引用 3. 输出明细和问题清单","符合 SEO 文档规则；dev 环境未启用 canonical 时不把 canonical 缺失误报为缺陷","脚本：scripts/seo_canonical_hreflang_scan.py","scripts/seo_canonical_hreflang_scan.py","SEO BRD：Canonical, Indexing, Hreflang / Deprecated Pages Redirect","是"
"TC-059","SEO / 内容详情页","News、Destination、Airports、Blogs 富文本 Heading 字号统一","目标环境内容详情页可访问","1. 扫描站点内容详情页 URL 2. 分别用桌面和移动视口读取富文本 H1-H4 样式 3. 对比设计字号和行高标准","富文本 H1-H4 在桌面和移动端符合设计标准；不符合时输出可读版问题清单","脚本：scripts/check_content_heading_styles.py","scripts/check_content_heading_styles.py","内容详情页 Heading 字号规范 / SEO 测试参考","是"
"TC-060","Private Jet Charter","Popular Private Jet We Offer 按地区与 Excel 数据一致","已提供 Top 10 Popular Aircraft per Hreflang Excel，页面地区选择器可用","1. 读取 Excel 中各 hreflang 机型数据 2. 切换页面地区 3. 抽取 Popular Private Jet We Offer 卡片 4. 对比机型、字段、顺序和图片可用性","页面每个地区展示的机型列表、字段和顺序与 Excel 一致，图片加载正常","脚本：scripts/validate_popular_aircraft_by_locale.py","scripts/validate_popular_aircraft_by_locale.py","Top 10 Popular Aircraft per Hreflang.xlsx","是"
"TC-061","Private Jet Charter","Popular Private Jet We Offer 与数据库推荐数据一致","数据库 singapore_jetbay_dev 可连接，页面地区选择器可用","1. 查询 web_aircraft_recommend 和 flight_recommend_aircraft 期望数据 2. 切换页面地区 3. 抽取模块卡片 4. 对比机型、字段、顺序、图片地址解码后资源","页面展示数据与数据库 page_type 对应推荐数据一致；图片比较使用解码后的真实资源地址","脚本：scripts/compare_popular_aircraft_with_db.py","scripts/compare_popular_aircraft_with_db.py","Popular Private Jet We Offer / DB 推荐数据校验","是"
"TC-062","SEO / CLS","站点地图页面 CLS 回归扫描","目标环境 sitemap 可访问","1. 从 sitemap 收集 URL 2. 按指定视口打开页面 3. 采集 CLS 和布局偏移来源 4. 聚合问题","页面 CLS 不超过阈值；超过阈值或页面访问异常时输出聚合问题清单","脚本：scripts/cls_sitemap_scan.py","scripts/cls_sitemap_scan.py","官网SEO性能优化-CLS说明","是"
"TC-063","SEO / 图片 Alt","News 和 Landing Page 图片 Alt 与 Excel 数据一致","已提供图片 Alt Excel，目标环境页面可访问","1. 读取 Excel 中列表页和详情页图片 Alt 期望值 2. 打开对应 News 或 Landing Page 页面 3. 抽取列表图、详情图 Alt 4. 输出不一致明细","页面图片 Alt 与 Excel 期望一致；页面异常、列表 Alt 不一致、详情 Alt 不一致均输出问题清单","脚本族：compare_news_*、compare_landingpage_*、compare_excel_alt_final.py","scripts/compare_news_full_final.py；scripts/compare_landingpage_full_final.py；scripts/compare_excel_alt_final.py","SEO 图片 Alt Excel 数据校验","是"
